Word, Democrat, Republican
general,0,16,1.1073592690788645
enough,0,16,1.1073592690788645
sanders,0,16,1.1073592690788645
street,0,16,1.1073592690788645
once,0,16,1.1073592690788645
others,0,16,1.1073592690788645
off,0,16,1.1073592690788645
public,0,16,1.1073592690788645
nearly,0,15,1.104754224866414
officers,0,15,1.104754224866414
tax,0,15,1.104754224866414
terrorist,0,15,1.104754224866414
opposition,0,15,1.104754224866414
barack,0,15,1.104754224866414
point,0,15,1.104754224866414
control,0,15,1.104754224866414
top,0,15,1.104754224866414
call,0,15,1.104754224866414
mandate,0,15,1.104754224866414
russian,0,15,1.104754224866414
economy,0,15,1.104754224866414
within,0,15,1.104754224866414
future,0,15,1.104754224866414
chief,0,15,1.104754224866414
believe,0,15,1.104754224866414
candidates,0,15,1.104754224866414
economic,0,15,1.104754224866414
billion,0,15,1.104754224866414
special,0,15,1.104754224866414
move,0,15,1.104754224866414
second,0,15,1.104754224866414
too,0,15,1.104754224866414
must,0,15,1.104754224866414
phyllis,0,15,1.104754224866414
protest,0,15,1.104754224866414
paul,0,15,1.104754224866414
al-qaeda,0,15,1.104754224866414
rights,0,15,1.104754224866414
decision,0,15,1.104754224866414
leader,0,15,1.104754224866414
man,0,15,1.104754224866414
school,0,14,1.1019068490087125
wang,0,14,1.1019068490087125
aleppo,0,14,1.1019068490087125
major,0,14,1.1019068490087125
jobs,0,14,1.1019068490087125
morning,0,14,1.1019068490087125
until,0,14,1.1019068490087125
little,0,14,1.1019068490087125
provide,0,14,1.1019068490087125
bring,0,14,1.1019068490087125
numbers,0,14,1.1019068490087125
terrorism,0,14,1.1019068490087125
students,0,14,1.1019068490087125
washington,0,14,1.1019068490087125
manufacturing,0,14,1.1019068490087125
still,0,14,1.1019068490087125
likely,0,14,1.1019068490087125
show,0,14,1.1019068490087125
power,0,14,1.1019068490087125
india,0,14,1.1019068490087125
ministry,0,14,1.1019068490087125
activists,0,14,1.1019068490087125
texas,0,14,1.1019068490087125
doesn,0,14,1.1019068490087125
iraq,0,14,1.1019068490087125
run,0,14,1.1019068490087125
saying,0,14,1.1019068490087125
along,0,14,1.1019068490087125
always,0,14,1.1019068490087125
current,0,14,1.1019068490087125
groups,0,14,1.1019068490087125
following,0,14,1.1019068490087125
side,0,14,1.1019068490087125
voting,0,14,1.1019068490087125
speaker,0,14,1.1019068490087125
issue,0,14,1.1019068490087125
